receptor,docking,affinity
WT,5FU,-4.773
WT,5FU,-4.454
WT,5FU,-4.324
WT,5FU,-4.304
WT,5FU,-4.26
WT,5FU,-4.122
WT,5FU,-3.98
WT,5FU,-3.93
WT,5FU,-3.926
WT,PRPP,-6.392
WT,PRPP,-6.194
WT,PRPP,-6.093
WT,PRPP,-6.063
WT,PRPP,-5.885
WT,PRPP,-5.844
WT,PRPP,-5.806
WT,PRPP,-5.753
WT,PRPP,-5.753
WT,PRPP_5FU,-9.258
WT,PRPP_5FU,-9.251
WT,PRPP_5FU,-8.972
WT,PRPP_5FU,-8.95
WT,PRPP_5FU,-8.788
WT,PRPP_5FU,-8.673
WT,PRPP_5FU,-8.606
WT,PRPP_5FU,-8.556
WT,PRPP_5FU,-8.47
R1,5FU,-4.381
R1,5FU,-4.256
R1,5FU,-4.148
R1,5FU,-4.101
R1,5FU,-4.096
R1,5FU,-4.078
R1,5FU,-4.056
R1,5FU,-4.051
R1,5FU,-4.04
R1,PRPP,-6.346
R1,PRPP,-6.324
R1,PRPP,-6.308
R1,PRPP,-6.283
R1,PRPP,-6.162
R1,PRPP,-6.099
R1,PRPP,-6.095
R1,PRPP,-6.014
R1,PRPP,-5.95
R1,PRPP_5FU,-9.639
R1,PRPP_5FU,-9.315
R1,PRPP_5FU,-8.842
R1,PRPP_5FU,-8.824
R1,PRPP_5FU,-8.814
R1,PRPP_5FU,-8.59
R1,PRPP_5FU,-8.589
R1,PRPP_5FU,-8.533
R1,PRPP_5FU,-8.486
